"docid"	"earliestdate"	"actualdate"	"tags"	"author"	"title"	"gender"	"nationality"	"authsvols"	"lastname"
"uc2.ark+=13960=t4bp05k0k"	1873	1899	"elite"	"Reade, Charles"	"A simpleton"	"m"	"uk"	259	"Reade"
"loc.ark+=13960=t6nz8x84q"	1873	1873	"elite"	"Leonowens, Anna Harriette"	"The romance of the harem"	"f"	"uk"	4	"Leonowens"
"inu.32000006997615"	1873	1873	"elite"	"Ritchie, Anne Thackeray"	"Old Kensington"	"f"	"uk"	46	"Ritchie"
"njp.32101065600601"	1873	1873	"vulgar"	"Whittlesey, Elsie Leigh"	"The hemlock swamp"	"f"	"us"	1	"Whittlesey"
"uc1.b4104445"	1874	1874	"elite"	"Davis, Rebecca Harding"	"John Andross"	"f"	"us"	19	"Davis"
"uiuo.ark+=13960=t41r7d247"	1874	1874	"vulgar"	"Payn, James"	"The best of husbands"	"m"	"uk"	109	"Payn"
"uc2.ark+=13960=t9w095f33"	1874	1900	"vulgar"	"Southworth, Emma Dorothy Eliza Nevitte"	"Victor's triumph"	"f"	"us"	82	"Southworth"
"njp.32101068152857"	1874	1874	"elite"	"Hardy, Thomas"	"Desperate remedies"	"m"	"uk"	282	"Hardy"
"uiuo.ark+=13960=t19k5018x"	1874	1874	"vulgar"	"Solly, Henry"	"Gerald and his friend the doctor"	"m"	"uk"	8	"Solly"
"njp.32101066457969"	1874	1874	"elite"	"Cooke, John Esten"	"Pretty Mrs. Gaston"	"m"	"us"	54	"Cooke"
"uc2.ark+=13960=t16m33f86"	1874	1874	"elite"	"Jay, W. M. L"	"Holden with the cords"	"f"	"uk"	3	"Jay"
"njp.32101068179041"	1874	1874	"vulgar"	"Harwood, John Berwick"	"Lady Livingston's legacy"	"m"	"uk"	12	"Harwood"
"uc1.b3327322"	1874	1874	"vulgar"	"Montgomery, Florence"	"Thwarted or Ducks' eggs in a hen's nest"	"f"	"uk"	29	"Montgomery"
"uc1.b250353"	1874	1874	"vulgar"	"Reade, Compton"	"Rose and Rue"	"f"	"uk"	6	"Reade"
"uc2.ark+=13960=t2n58cz1k"	1874	1874	"vulgar"	"Roe, Edward Payson"	"Opening a chestnut burr"	"m"	"us"	91	"Roe"
"uiuo.ark+=13960=t8pc3h23p"	1874	1874	"vulgar"	"De Jongh, Bertha"	"The sisters Lawless"	"f"	"uk"	6	"De"
"uc2.ark+=13960=t8bg2j878"	1874	1874	"vulgar"	"Reid, Christian"	"A daughter of Bohemia;"	"f"	"us"	33	"Reid"
"uiuo.ark+=13960=t2h70xs59"	1875	1875	"elite"	"MacDonald, George"	"Malcolm"	"m"	"uk"	144	"MacDonald"
"mdp.39015046359850"	1875	1900	"elite"	"James, Henry"	"Roderick Hudson"	"m"	"us"	543	"James"
