docid	allcopiesofwork	author	bestseller	contrast4reviewed	copiesin25yrs	earlyedition	firstpub	gender	heath	imprint	inferreddate	lastname	latestcomp	mostdiscussed	nationality	norton	nortonshort	preregistered	recordid	reviewed	title	inferrednation
pst.000005375714	2.0	Huxley, Aldous	True	False	1.0	True			False	London|Chatto & Windus|1936.	1936	Huxley	1936	False		False	False	False	1025390.0	False	Eyeless in Gaza	uk
wu.89098012016		Birkmaier, Elizabeth G	False	True			1892.0	f	False	San Francisco;The Clemens Pub. Co.;1892.	1892	Birkmaier	1892	False	us	False	False	False	4764334.0	False	Poseidon's paradise	us
uc2.ark+=13960=t3804zn8k	1.0	Chambers, Robert W.	True	False	1.0	True	1911.0		False	New York and;London;D. Appleton and Company;1911.	1911	Chambers	1911	False		False	False	False	778808.0	False	The Common law	us
uiuo.ark+=13960=t13n2dw98	4.0	Lyall, Edna	False	False	4.0	True	1884.0	f	False	London;Hurst and Blackett;1884.	1884	Lyall	1884	False	uk	False	False	False	8724227.0	True	We two	uk
mdp.39015005757706	2.0	Werfel, Franz	True	False	1.0	True			False	New York|Viking Press|c1942.	1942	Werfel	1942	False		False	False	False	1198616.0	False	Song of Bernadette	guess: us
uc1.$b300263	1.0	Foote, John Taintor	False	True	1.0	True	1933.0	m	False	New York|London|D. Appleton-Century Company|1933.	1933	Foote	1933	False	us	False	False	False	6533609.0	False	Fatal gesture, | $c: by John Taintor Foote.	us
uc2.ark+=13960=t1hh6d619	7.0	Dreiser, Theodore	False	False	3.0	True	1900.0	m	False	New York;Grosset & Dunlap;c1917.	1917	Dreiser	1900	False	us	True	False	True	7658019.0	False	Sister Carrie	us
loc.ark+=13960=t7jq1gh0t		Krunich, Milutin	False	True			1918.0	m	False	Boston;New York;Houghton Mifflin Company;1918.	1918	Krunich	1918	False	serbian	False	False	False	443776.0	False	Serbia crucified;	serbian
nc01.ark+=13960=t7mp64h4s	5.0	Glasgow, Ellen Anderson Gholson	True	False	4.0	True			False	New York;Doubleday, Page & co.;1904.	1904	Glasgow	1904	False		False	False	False	432645.0	False	The deliverance	us
wu.89097996409	1.0	Libbey, Laura Jean	False	True	1.0	True	1880.0	f	False	London;Milner;188-?	1880	Libbey	1880	False	us	False	False	False	6775709.0	False	Little Rosebud's lovers, or, A cruel revenge	us
uc2.ark+=13960=t4vh5db24	1.0	Miller, Thomas	False	True	1.0	True	1880.0	m	False	New York;Miller;1880.	1880	Miller	1880	False	uk	False	False	False	7667217.0	False	Little Blue Hood	uk
nyp.33433000133862	6.0	Irving, Washington	False	False	4.0	False			True	Boston;S.E. Cassino;1888.	1888	Irving	1859	False		True	False	False	8590203.0	False	Rip Van Winkle	uk
mdp.39015030091014		Bacheller, Irving,	True	False			1917.0		False	Indianapolis;The Bobbs-Merrill Company;c1917	1917	Bacheller	1917	False		False	False	False	2931673.0	False	The light in the clearing;	us
mdp.39015020720481		Hemingway, Ernest	False	False			1940.0	m	False	New York|Scribner|1940.	1940	Hemingway	1940	False	us	False	False	False	436041.0	True	For Whom the Bell Tolls	us
mdp.39015043798431	4.0	Morrison, Toni	False	False	3.0	True			False	New York, NY|Plume|c1973.	1973	Morrison	1973	True		False	False	False	2953942.0	False	Sula	us
nyp.33433074955141		Tennyson, Alfred Tennyson,	True	False			1842.0		False		1846	Tennyson	1842	False		False	False	False		False	Poems	uk
uc2.ark+=13960=t2794111g		Fox, John	False	False			1903.0	m	False	New York;C. Scribner's sons;1903	1903	Fox	1903	False	us	False	False	False	390380.0	True	The little shepherd of Kingdom Come	us
mdp.39015054024453	1.0	Grisham, John	True	False	1.0	True			False	New York|Doubleday|c1998.	1998	Grisham	1998	False		False	False	False	3964995.0	False	The street lawyer	us
mdp.39015012341775		Smith, William	False	False			1857.0	m	False		1857	Smith	1857	False	uk	False	False	False		True	Thorndale;	uk
uc1.b3727921	5.0	Wright, Harold Bell,	True	False	5.0	True	1914.0		False	Chicago;Book Supply Company;c1914.	1914	Wright	1914	False		False	False	False	10154643.0	False	The eyes of the world	us
nyp.33433074793427	1.0	Yale, Catharine Brooks	False	True	1.0	True	1856.0	f	False	Philadelphia;J.B. Lippincott and Co.;1856.	1856	Yale	1856	False	us	False	False	False	8661107.0	False	Abbie Nott, and other knots	us
njp.32101042563039		Bellamy, Edward	False	False			1880.0	m	False	New York;D. Appleton and company;1880	1880	Bellamy	1880	False	us	False	False	False	6155796.0	True	--Dr. Heidenhoff's process	us
uc2.ark+=13960=t5k93292h	1.0	Finley, Martha	False	True	1.0	True	1876.0	f	False	New York;Dodd, Mead & Company Publishers;1876	1876	Finley	1876	False	us	False	False	False	7658781.0	False	Mildred Keith	us
mdp.39015063939782		Loomis, Charles Battell	False	False			1903.0	m	False	New York;H. Holt and company;1903.	1903	Loomis	1903	False	us	False	False	False	280839.0	True	Cheerful Americans	us
