docid	author	title	inferreddate	latestcomp	firstpub	allcopiesofwork	copiesin25yrs	gender	nationality	earlyedition	lastname	imprint	norton	heath	nortonshort	mostdiscussed	preregistered	reviewed	contrast4reviewed	bestseller
uc2.ark:/13960/t04x59c1c	Thurston, Katherine Cecil,	The gambler	1905	1905.0	1905.0						Thurston		False	False	False	False	False	False	False	True
nyp.33433074872130	Hudson, W. H	Green Mansions	1916	1904.0	1904.0			m	uk		Hudson	New York;Modern Library;1916	False	False	False	False	False	False	True	False
uc2.ark+=13960=t0qr4pk66	Whitaker, Herman	The planter	1909	1909.0	1909.0	2.0	2.0	m	us	True	Whitaker	New York;London;Harper & Brothers;c1909.	False	False	False	False	False	False	True	False
mdp.39015063930195	King, Basil,	The wild olive;	1910	1910.0	1910.0	1.0	1.0			True	King	New York;Grosset & Dunlap;c1910	False	False	False	False	False	False	False	True
nyp.33433076023245	Newell, Charles Martin	Kalani of Oahu	1881	1881.0	1881.0			m	us		Newell	Boston;Pub. by the author;1881.	False	False	False	False	False	False	True	False
uc1.b3462574	Crichton, Robert	The secret of Santa Vittoria: a novel	1966	1966.0		1.0	1.0			True	Crichton	New York|Simon and Schuster|1966	False	False	False	False	False	False	False	True
mdp.39015043198871	Du Maurier, Daphne	The house on the strand	1969	1969.0		2.0	2.0			True	Du	Garden City, N.Y.|Doubleday|c1969.	False	False	False	False	False	False	False	True
uc1.b4084618	Fallada, Hans	An old heart goes a journeying | $c: [by] Hans Fallada [pseud.] illustrated by Georg Salter.	1936	1936.0	1936.0			m	ger		Fallada	New York|Simon and Schuster|1936.	False	False	False	False	False	False	True	False
mdp.39015046360080	Berendt, John	Midnight in the garden of good and evil : a Savannah story	1994	1994.0		1.0	1.0			True	Berendt	New York|Random House|c1994.	False	False	False	False	False	False	False	True
mdp.39015047449866	Steel, Danielle	Irresistible forces	1999	1999.0		2.0	2.0			True	Steel	New York|Delacorte Press|1999.	False	False	False	False	False	False	False	True
